# BIDS-Eye synonym collision report
# Generated by RAG/audit_collisions.py

## task  (1184 concepts)
# CRITICAL=239  HIGH=1075  MEDIUM=8539  EMBED=0

CRITICAL resting_state_technical.synonyms["resting-state baseline"] (w=0.1, score=100) → calibration_baseline.synonym["resting-state baseline"]
CRITICAL deepmreye_resting_eyes_closed.synonyms["DeepMReye eyes-closed run"] (w=1.0, score=100) → deepmreye_closed_training.synonym["deepmreye eyes-closed run"]
CRITICAL video_game_and_video.synonyms["naturalistic paradigm"] (w=0.1, score=100) → naturalistic.synonym["naturalistic paradigm"]
CRITICAL video_clips_viewing.synonyms["naturalistic movie viewing"] (w=0.1, score=100) → movie_viewing.synonym["naturalistic movie viewing"]
CRITICAL movie_memory.synonyms["film recall"] (w=0.1, score=100) → film_recall.label["film recall"]
CRITICAL naturalistic_passive_viewing.synonyms["naturalistic movie viewing"] (w=0.1, score=100) → movie_viewing.synonym["naturalistic movie viewing"]
CRITICAL naturalistic_passive_viewing.synonyms["movie-watching fMRI"] (w=0.1, score=100) → movie_viewing.synonym["movie-watching fmri"]
CRITICAL rest_film_viewing.synonyms["video watching"] (w=0.1, score=100) → movie_viewing.synonym["video watching"]
CRITICAL working_memory_general.synonyms["sternberg task"] (w=0.1, score=100) → sternberg_task.label["sternberg task"]
CRITICAL working_memory_general.synonyms["visuospatial working memory"] (w=0.1, score=100) → visual_working_memory_general.synonym["visuospatial working memory"]
CRITICAL working_memory_general.synonyms["n-back"] (w=0.1, score=100) → n_back_working_memory.synonym["n-back"]
CRITICAL working_memory_general.synonyms["nback"] (w=0.1, score=100) → n_back_working_memory.synonym["nback"]
CRITICAL working_memory_general.synonyms["n back"] (w=0.1, score=100) → n_back_working_memory.synonym["n back"]
CRITICAL memory_updating.synonyms["n-back"] (w=0.1, score=100) → n_back_working_memory.synonym["n-back"]
CRITICAL memory_updating.synonyms["nback"] (w=0.1, score=100) → n_back_working_memory.synonym["nback"]
CRITICAL memory_updating.synonyms["n back"] (w=0.1, score=100) → n_back_working_memory.synonym["n back"]
CRITICAL memory_updating.synonyms["n-back task"] (w=0.1, score=100) → n_back_working_memory.synonym["n-back task"]
CRITICAL one_second_memory.synonyms["VSTM"] (w=0.1, score=100) → visual_short_term_memory.synonym["vstm"]
CRITICAL perception_and_working_memory.synonyms["delayed match-to-sample task"] (w=0.1, score=100) → delayed_match_to_sample.label["delayed match-to-sample task"]
CRITICAL spatial_location_immediate_working_memory.synonyms["VSTM"] (w=0.1, score=100) → visual_short_term_memory.synonym["vstm"]
